Claim_Probability,Predicted_Severity,Risk_Based_Premium
0.0,5343.066,0.0
0.0,6886.517,0.0
0.0,27246.99,0.0
0.0,40374.76,0.0
0.0,31178.96,0.0
0.0,2172.5447,0.0
0.0,9371.593,0.0
0.0,3103.2537,0.0
0.0,2820.0571,0.0
0.0,2491.0303,0.0
0.0,829.1978,0.0
0.0,4401.427,0.0
0.0,5757.6216,0.0
0.0,37181.277,0.0
0.0,49938.312,0.0
0.0,12280.697,0.0
0.0,48026.934,0.0
0.0,18335.092,0.0
0.0,2872.6726,0.0
0.0,28564.836,0.0
0.0,33971.38,0.0
0.0,3665.6743,0.0
0.0,2789.2024,0.0
0.0,4787.77,0.0
0.005,27544.848,172.1552978515625
0.0,61500.633,0.0
0.0,4455.3423,0.0
0.0,34416.465,0.0
0.0,3315.21,0.0
0.0,3075.7856,0.0
0.0,475.81436,0.0
0.0,16917.37,0.0
0.0,2397.7424,0.0
0.0,4018.326,0.0
0.0,29845.584,0.0
0.12639951551716255,12248.162,1935.2021957508348
0.0,7833.354,0.0
0.0,37861.074,0.0
0.0,6234.74,0.0
0.0,4962.621,0.0
0.0,25515.861,0.0
0.0,3466.6248,0.0
0.0,24480.785,0.0
0.0,63611.094,0.0
0.0,6805.111,0.0
0.0,3994.5188,0.0
0.08199997224997223,33331.97,3416.525640671177
0.0,3025.506,0.0
0.0,3639.7737,0.0
0.0,21552.162,0.0
0.0,2966.8213,0.0
0.0,4389.3022,0.0
0.0,3321.6309,0.0
0.0,3966.8018,0.0
0.0,398.78766,0.0
0.0,718.8185,0.0
0.0,6975.1,0.0
0.0,61526.547,0.0
0.0,4977.1587,0.0
0.0,16224.772,0.0
0.0,1363.606,0.0
0.0,39537.773,0.0
0.0,28094.29,0.0
0.0,1923.207,0.0
0.0,16617.186,0.0
0.0,8294.669,0.0
0.0,7327.5186,0.0
0.0,26742.766,0.0
0.09751252913752911,34332.082,4184.760186780381
0.1309621212121212,66841.9,10942.196006525211
0.0,4901.012,0.0
0.0,3624.5688,0.0
0.0,4704.348,0.0
0.0,3030.3542,0.0
0.08172576052258713,6647.7344,679.1139344362756
0.0,5456.624,0.0
0.0,3181.6694,0.0
0.0,32650.139,0.0
0.0,3620.7551,0.0
0.0,7337.6987,0.0
0.0,2373.7544,0.0
0.0,4067.58,0.0
0.0,-707.6189,-0.0
0.0,5675.081,0.0
0.0,50781.137,0.0
0.0,3379.1235,0.0
0.0,2614.0603,0.0
0.0,1650.7316,0.0
0.0,3174.2805,0.0
0.002857142857142857,19884.018,71.01434849330357
0.0,27035.12,0.0
0.0,35228.906,0.0
0.0,48197.086,0.0
0.0,50117.22,0.0
0.0,1904.2726,0.0
0.0,21284.707,0.0
0.0,4752.0303,0.0
0.0,37629.523,0.0
0.0,5099.3076,0.0
0.0,5075.688,0.0
0.0,1210.579,0.0
0.0,19684.975,0.0
0.0,5633.3965,0.0
0.0,5528.728,0.0
0.0,4664.0464,0.0
0.0,4908.3687,0.0
0.0016666666666666666,89348.586,186.14288736979165
0.0,40683.85,0.0
0.0,183.20488,0.0
0.0,3418.8481,0.0
0.0,1108.6508,0.0
0.0,20007.04,0.0
0.0,-157.5297,-0.0
0.0,1640.6691,0.0
0.0,4027.3591,0.0
0.0,29470.75,0.0
0.0,20716.227,0.0
0.0,255.74683,0.0
0.0,2264.1926,0.0
0.0,19123.623,0.0
0.0,-4819.1704,-0.0
0.0,3190.7756,0.0
0.0,103522.87,0.0
0.0,34480.168,0.0
0.0,10843.338,0.0
0.0,29643.135,0.0
0.0,15308.672,0.0
0.0,476.23724,0.0
0.0,5350.853,0.0
0.0,25492.129,0.0
0.0,2387.2576,0.0
0.0,4348.1074,0.0
0.0,2070.6667,0.0
0.0,33672.37,0.0
0.0,7337.5444,0.0
0.0,3125.9578,0.0
0.0,107945.72,0.0
0.0,31208.568,0.0
0.0,3202.7305,0.0
0.0,-1220.9812,-0.0
0.0,192281.98,0.0
0.0,7159.391,0.0
0.0,1258.6454,0.0
0.0,27070.031,0.0
0.0,9501.479,0.0
0.0,6810.8906,0.0
0.0,1437.0101,0.0
0.0,1906.4237,0.0
0.0,3912.287,0.0
0.0,4968.0815,0.0
0.0,17167.943,0.0
0.0,-8.821533,-0.0
0.0,2890.5413,0.0
0.0,4437.3257,0.0
0.0,3074.7793,0.0
0.0,3270.7683,0.0
0.0,2544.4282,0.0
0.0,4570.797,0.0
0.0,13262.584,0.0
0.0,40898.527,0.0
0.0,5366.9434,0.0
0.0,4098.814,0.0
0.0,4230.4565,0.0
0.0,4451.9204,0.0
0.0,27544.148,0.0
0.0,4857.015,0.0
0.0,11226.296,0.0
0.0,-273.31372,-0.0
0.0,36737.992,0.0
0.0,30774.717,0.0
0.0,12440.037,0.0
0.0,4163.726,0.0
0.0,28389.162,0.0
0.0,3855.495,0.0
0.0,6525.985,0.0
0.0,4434.341,0.0
0.0,703.02716,0.0
0.0,6176.569,0.0
0.0,4398.253,0.0
0.0,7378.9014,0.0
0.0,-5259.7485,-0.0
0.0,3041.7104,0.0
0.0,38074.95,0.0
0.0,4774.397,0.0
0.0,62984.31,0.0
0.0,17867.959,0.0
0.0,4129.9507,0.0
0.0,8709.296,0.0
0.0,62867.023,0.0
0.0,11747.455,0.0
0.0,63083.504,0.0
0.0,5115.95,0.0
0.0,6819.195,0.0
0.0,6239.324,0.0
0.0,2864.6592,0.0
0.0,81664.91,0.0
0.0,26826.64,0.0
0.0,61547.273,0.0
0.0,2797.4634,0.0
0.0,2810.5544,0.0
0.0,1710.9679,0.0
0.0,-314.55933,-0.0
0.0,10081.844,0.0
0.0,71591.95,0.0
0.0,5995.8955,0.0
0.3454365079365078,40278.105,17391.9101242792
0.0,65462.97,0.0
0.0,11762.574,0.0
0.0,47700.387,0.0
0.0,14298.396,0.0
0.0,14524.658,0.0
0.0,41992.598,0.0
0.0,2400.7356,0.0
0.0,16460.488,0.0
0.0,2370.9019,0.0
0.0,3140.5293,0.0
0.0,27365.535,0.0
0.0,25148.988,0.0
0.0,12431.465,0.0
0.0,35998.03,0.0
0.0,6768.003,0.0
0.0,3089.5798,0.0
0.0,5657.2466,0.0
0.0,5175.982,0.0
0.0,40897.15,0.0
0.0,-1446.9911,-0.0
0.0,7720.2324,0.0
0.0,3659.955,0.0
0.0,103648.695,0.0
0.0,29488.979,0.0
0.0,3267.2231,0.0
0.0,3222.1863,0.0
0.0,-133.67409,-0.0
0.0,44318.17,0.0
0.0,6936.8403,0.0
0.0,2127.5894,0.0
0.0,3189.7776,0.0
0.0,3773.4143,0.0
0.0,5783.419,0.0
0.0,5198.516,0.0
0.0,770.0265,0.0
0.0,32346.3,0.0
0.0,21737.451,0.0
0.0,4641.915,0.0
0.0,4248.5986,0.0
0.0,3270.7683,0.0
0.0,1638.0758,0.0
0.0,1756.6453,0.0
0.0,7216.3438,0.0
0.0,85635.15,0.0
0.0,25242.324,0.0
0.0,4092.3179,0.0
0.0,16577.895,0.0
0.0,17076.467,0.0
0.0,3991.7725,0.0
0.0,3959.153,0.0
0.0,3119.5366,0.0
0.0,445.3432,0.0
0.0,4323.6807,0.0
0.0,2829.5122,0.0
0.0,4253.4575,0.0
0.0,3232.0034,0.0
0.0,18065.516,0.0
0.0,11485.4,0.0
0.0,-2355.9504,-0.0
0.0,3797.8726,0.0
0.0,56877.273,0.0
0.0,2773.489,0.0
0.0,3553.5476,0.0
0.0,4305.349,0.0
0.0,2383.6636,0.0
0.0,100432.81,0.0
0.0,57389.316,0.0
0.0,58403.797,0.0
0.0,24192.152,0.0
0.0,3639.0906,0.0
0.0,1596.288,0.0
0.0,29975.588,0.0
0.0,3372.2087,0.0
0.0,52522.7,0.0
0.0,35015.805,0.0
0.0,1140.0797,0.0
0.0,24268.803,0.0
0.0,2522.6926,0.0
0.0,34978.9,0.0
0.0,24607.785,0.0
0.0,84126.81,0.0
0.0,56636.16,0.0
0.0,12000.213,0.0
0.0,15049.155,0.0
0.0,10635.412,0.0
0.0,38320.4,0.0
0.0,4454.3623,0.0
0.0,5802.4185,0.0
0.0,5836.0996,0.0
0.0,3262.224,0.0
0.0,5194.4917,0.0
0.0,5397.278,0.0
0.0,90997.24,0.0
0.0,3238.9075,0.0
0.0,61494.914,0.0
0.0,56818.15,0.0
0.0,44751.8,0.0
0.0,3255.7048,0.0
0.0,-3371.2478,-0.0
0.0,3759.6804,0.0
0.0,57799.445,0.0
0.0,42356.215,0.0
0.0,19901.98,0.0
0.0,2149.4553,0.0
0.0,5684.983,0.0
0.0,4398.749,0.0
0.0,3123.608,0.0
0.0,101883.15,0.0
0.0,4066.7563,0.0
0.0,61083.11,0.0
0.0,62218.785,0.0
0.0,54091.043,0.0
0.0,63123.582,0.0
0.0,954.6165,0.0
0.0,27730.695,0.0
0.0,14205.759,0.0
0.0,18843.459,0.0
0.0,3615.6946,0.0
0.0,5141.894,0.0
0.006222222222222223,2539.5159,19.75179009331597
0.0,343.78207,0.0
0.0,4347.6177,0.0
0.0,14935.5205,0.0
0.0,5808.382,0.0
0.0,3884.4583,0.0
0.0,-130.62056,-0.0
0.0,7337.6987,0.0
0.0,3550.0132,0.0
0.0,2770.3884,0.0
0.0,6717.699,0.0
0.0,52713.582,0.0
0.0,15176.917,0.0
0.0,-1506.0857,-0.0
0.0,5462.238,0.0
0.0,24504.312,0.0
0.006999999999999999,-1005.10785,-8.79469367980957
0.0,3526.2031,0.0
0.0,2383.1675,0.0
0.0,4325.5024,0.0
0.0,3417.2917,0.0
0.0,2929.698,0.0
0.0,1942.561,0.0
0.0,15461.037,0.0
0.0,773.24084,0.0
0.0,2554.8862,0.0
0.0,41894.742,0.0
0.0,3336.9077,0.0
0.0,2652.6812,0.0
0.0,17457.836,0.0
0.0038888888888888883,39597.08,192.4857964409722
0.0,4950.7915,0.0
0.0,3189.3,0.0
0.0,37084.027,0.0
0.0,3638.5747,0.0
0.0,3157.7039,0.0
0.0,5069.728,0.0
0.0,3467.1904,0.0
0.0,17324.86,0.0
0.0,53025.336,0.0
0.0,4147.238,0.0
0.0,2800.8096,0.0
0.22896428571428565,5515.8237,1578.6583007158547
0.0,4181.8477,0.0
0.0,64677.875,0.0
0.0,4050.2073,0.0
0.0,5997.123,0.0
0.0,44875.277,0.0
0.0,22379.137,0.0
0.0,5005.727,0.0
0.0,4853.52,0.0
0.0,4202.304,0.0
0.0,2974.2556,0.0
0.0,7615.9663,0.0
0.0,3351.7893,0.0
0.0,49073.918,0.0
0.0,6402.102,0.0
0.0,9190.465,0.0
0.0,2204.0286,0.0
0.0,4826.835,0.0
0.0,6009.077,0.0
0.0,40574.477,0.0
0.0,17502.943,0.0
0.3454365079365078,40278.105,17391.9101242792
0.0,100630.35,0.0
0.0,4873.893,0.0
0.0,4084.9136,0.0
0.0,36273.004,0.0
0.0,3084.32,0.0
0.0,17962.29,0.0
0.0,19343.193,0.0
0.0,3856.155,0.0
0.0,5130.3384,0.0
0.0,30992.334,0.0
0.0,16038.217,0.0
0.0,45595.098,0.0
0.0,4949.1045,0.0
0.0,23488.61,0.0
0.0,2477.2217,0.0
0.0,1809.2269,0.0
0.0,3813.389,0.0
0.0,38372.266,0.0
0.0,3911.4592,0.0
0.0,5460.606,0.0
0.0,4452.9126,0.0
0.0,37921.438,0.0
0.0,4720.833,0.0
0.0,2765.2715,0.0
0.0,2771.576,0.0
0.0,2640.4558,0.0
0.0,2285.8193,0.0
0.0,3091.1135,0.0
0.0,32753.158,0.0
0.0,4285.9814,0.0
0.0,7065.7896,0.0
0.0,7709.2393,0.0
0.0,5150.8423,0.0
0.0,3209.5188,0.0
0.0,5142.9736,0.0
0.0,2213.385,0.0
0.0,2491.984,0.0
0.0,19916.787,0.0
0.0,2466.4292,0.0
0.0,25708.469,0.0
0.0,22876.557,0.0
0.0,6349.8013,0.0
0.0,2162.0208,0.0
0.0,44153.11,0.0
0.0,13745.796,0.0
0.0,944.1297,0.0
0.0,4774.0894,0.0
0.0,4078.713,0.0
0.0,47594.727,0.0
0.0,4123.188,0.0
0.0,9696.16,0.0
0.0,30284.3,0.0
0.0,3750.5396,0.0
0.0,4689.9893,0.0
0.0,2167.7107,0.0
0.0,459.69467,0.0
0.0,1569.4963,0.0
0.0,4011.0837,0.0
0.0,3199.9102,0.0
0.0,4915.9243,0.0
0.0,4381.8843,0.0
0.0,4330.097,0.0
0.0,27904.746,0.0
0.0,6161.1714,0.0
0.0,4465.609,0.0
0.0,43050.06,0.0
0.0,25474.49,0.0
0.0,43669.668,0.0
0.0,19489.64,0.0
0.0,5532.0366,0.0
0.0,2551.4988,0.0
0.0,61478.434,0.0
0.0,25904.781,0.0
0.0,1639.1316,0.0
0.0,5792.643,0.0
0.0,2708.709,0.0
0.0,4914.0986,0.0
0.0,9162.733,0.0
0.0,29079.244,0.0
0.0,5810.5913,0.0
0.0,6599.654,0.0
0.0,2982.4197,0.0
0.0,29957.422,0.0
0.0,3423.0146,0.0
0.0,3379.1235,0.0
0.0,5797.3115,0.0
0.0,4578.4463,0.0
0.0,4723.6772,0.0
0.0,924.9244,0.0
0.0,12612.242,0.0
0.0,38078.96,0.0
0.0,38519.41,0.0
0.0,12554.728,0.0
0.0,51090.574,0.0
0.0,4092.1572,0.0
0.0,4145.2915,0.0
0.0,3167.2883,0.0
0.0,5265.076,0.0
0.0,1842.1857,0.0
0.0,-7603.7783,-0.0
0.0,3314.9263,0.0
0.12561924186924187,39883.46,6262.662657612841
0.0,14467.384,0.0
0.0,36717.934,0.0
0.0,28190.863,0.0
0.0,5463.9673,0.0
0.0,1032.51,0.0
0.0,59792.277,0.0
0.0,1838.3574,0.0
0.0,41900.086,0.0
0.0,3627.0583,0.0
0.0,4841.1436,0.0
0.0,2895.955,0.0
0.0,23441.521,0.0
0.0,8110.481,0.0
0.0,3414.624,0.0
0.0,3182.2385,0.0
0.0,2499.4019,0.0
0.0,3760.7417,0.0
0.0,4278.683,0.0
0.0,3399.236,0.0
0.0,5032.473,0.0
0.0,21948.848,0.0
0.0,3396.5295,0.0
0.0,3476.9692,0.0
0.0,63055.25,0.0
0.0887327851886675,12984.163,1440.151192448898
0.0,4869.6714,0.0
0.0,2647.0203,0.0
0.0,1235.372,0.0
0.0,57612.11,0.0
0.0,14158.508,0.0
0.0,3813.7612,0.0
0.0,2357.688,0.0
0.0,6438.941,0.0
0.0,6313.536,0.0
0.0,24365.27,0.0
0.0,41608.953,0.0
0.0,5475.0737,0.0
0.0,99716.02,0.0
0.0,22623.377,0.0
0.0,61909.93,0.0
0.0,53456.426,0.0
0.0,33953.87,0.0
0.0,70043.125,0.0
0.0,4887.835,0.0
0.0,4187.677,0.0
0.0,5144.428,0.0
0.0,5398.3105,0.0
0.0,4705.2017,0.0
0.0,25897.04,0.0
0.0,3567.413,0.0
0.0,39553.688,0.0
0.0,15654.553,0.0
0.0,11872.787,0.0
0.0,5363.133,0.0
0.12164492451992444,6580.339,1000.5810310181856
0.0,49084.95,0.0
0.0,16196.843,0.0
0.0,4844.67,0.0
0.0,24536.77,0.0
0.0,3570.8652,0.0
0.0,2487.251,0.0
0.0,1830.2212,0.0
0.0,6215.004,0.0
0.0,38365.914,0.0
0.0,2775.4153,0.0
0.0,4662.695,0.0
0.0,33268.285,0.0
0.0,5600.583,0.0
0.0,3451.8767,0.0
0.0,26718.785,0.0
0.0,2172.5447,0.0
0.0,6110.526,0.0
0.0,1972.4637,0.0
0.0,10567.73,0.0
0.0,5777.283,0.0
0.0,19514.889,0.0
0.0,31780.77,0.0
0.0,2934.1516,0.0
0.0,4215.629,0.0
0.0,2668.4124,0.0
0.0,5532.9424,0.0
0.0,2691.7449,0.0
0.0,2823.6123,0.0
0.0,74177.664,0.0
0.0,26657.365,0.0
0.0,51206.484,0.0
0.0,4633.7734,0.0
0.0,3536.334,0.0
0.0,3567.413,0.0
0.0,34613.78,0.0
0.0,2796.264,0.0
0.0,39301.324,0.0
0.0,2558.174,0.0
0.0,6608.9697,0.0
0.0,4527.3193,0.0
0.0,36339.508,0.0
0.0,56863.71,0.0
0.0,5041.6885,0.0
0.0,4947.8564,0.0
0.0,3307.5583,0.0
0.0,3927.2275,0.0
0.0,-504.92328,-0.0
0.0,189.6222,0.0
0.0,2773.1504,0.0
0.0,41141.65,0.0
0.0,33435.652,0.0
0.0,5220.0356,0.0
0.0,73199.12,0.0
0.0,1759.8573,0.0
0.0,46848.387,0.0
0.0,31064.01,0.0
0.0,12144.055,0.0
0.0,1584.4095,0.0
0.0,52498.016,0.0
0.0,18423.533,0.0
0.0,5164.962,0.0
0.0,31204.424,0.0
0.0,18966.63,0.0
0.0,589.7329,0.0
0.0,1544.5334,0.0
0.0,4322.867,0.0
0.0,3908.3281,0.0
0.0,33287.043,0.0
0.0,21853.66,0.0
0.0,30953.686,0.0
0.0,34171.547,0.0
0.0,217.42523,0.0
0.0,3567.413,0.0
0.0,4929.0776,0.0
0.0,25988.48,0.0
0.0,31664.477,0.0
0.0,-284.23117,-0.0
0.0,8057.056,0.0
0.0,226886.81,0.0
0.0,1278.4644,0.0
0.0,1244.5453,0.0
0.0,47198.27,0.0
0.0,34681.023,0.0
0.0,2554.5535,0.0
0.0,-833.71875,-0.0
0.0,7825.207,0.0
0.0,2564.9268,0.0
0.0,1449.9357,0.0
0.0,4311.0874,0.0
0.0,3424.0847,0.0
0.0,2671.39,0.0
